PC1,PC2,Cluster,Categorie
3.9417635294827003,0.4992842686730297,2,Non labellisé
-0.2702555696720309,-2.0687778966666492,0,Non labellisé
-0.2702555696720306,-2.068777896666659,0,Non labellisé
0.15789394515947056,-1.850836805405759,0,Non labellisé
-0.5209059463823649,0.9954597589761073,1,Non labellisé
-1.6415829965429956,0.5756156066709485,1,Non labellisé
-1.9585542145782824,0.5346401321589078,1,Non labellisé
-1.6060292336608655,0.5227025744812598,1,Non labellisé
-0.5378244726792057,-1.9297577199777098,0,Non labellisé
-1.9948982751673907,0.6472494735331455,1,Non labellisé
-0.47066935627837436,0.7929524694577316,1,Non labellisé
-0.5378244726792057,-1.9297577199777098,0,Non labellisé
-0.3120940113732552,0.8992441676670736,1,Non labellisé
0.016311207753712604,-2.1539564361404926,0,Non labellisé
-0.51961603822249,-1.8516995433793348,0,Non labellisé
-0.5110574951705725,-1.9817885711025185,0,Non labellisé
3.5224084154428152,0.7199264940239579,2,Non labellisé
1.9864016616083406,0.6687308282674512,2,Non labellisé
-1.9475885354791538,0.7551065287006071,1,Non labellisé
-1.1016299606994855,0.7993477283578231,1,Non labellisé
3.5040907389068248,0.43343264895857136,2,Non labellisé
-0.5475367969166895,1.0196720204712961,1,Non labellisé
2.367970175018384,-0.29784627245122214,2,Non labellisé
-2.0278908578644335,0.7572798248898389,1,Non labellisé
-0.39100182812164547,1.0124936869424095,1,Non labellisé
-1.5973208899931504,0.5759763830564648,1,Non labellisé
2.5079401362320253,0.550295742107563,2,Non labellisé
-1.8560788897242881,0.4884699609646958,1,Non labellisé
0.2756872194076988,-2.1441457293931863,0,Non labellisé
2.401804836727467,0.530086930936075,2,Non labellisé
3.9417635294826967,0.4992842686730339,2,Non labellisé
-1.968672703610813,0.6989430027283694,1,Non labellisé
-1.287756841352197,-0.01828069718053581,1,Non labellisé
-1.6381253855853815,0.7234384758231717,1,Non labellisé
0.20100904764058797,-2.243308461251855,0,Non labellisé
2.638924247784045,0.8766884335378755,2,Non labellisé
0.2934387422041068,-1.9953131613184723,0,Non labellisé
3.174611894258768,0.685163063463139,2,Non labellisé
0.4716617984746336,-2.0851509488474846,0,Non labellisé
-1.905899643184061,0.6085540523372066,1,Non labellisé
-0.6947589078073656,1.15786456844919,1,Non labellisé
-0.6114699101903045,-1.8808604083291587,0,Non labellisé
3.051624284962008,0.5097001262039857,2,Non labellisé
2.0532346273430457,0.9019179483606702,2,Non labellisé
-1.871175641809206,0.7019705342637638,1,Non labellisé
2.93524669044593,0.8135036990131574,2,Non labellisé
2.979870517907069,0.5955088935701202,2,Non labellisé
2.6236426646927993,0.39043493994236605,2,Non labellisé
-0.4821750285316941,0.744525583774944,1,Non labellisé
-0.6113704940642009,-2.0810065686056953,0,Non labellisé
-0.3269728159904342,1.0081199023597252,1,Non labellisé
-1.7152543969274119,0.5595637180837622,1,Non labellisé
-1.5342612780091036,0.7273004481211581,1,Non labellisé
-1.4488378462779077,-0.10818706983303475,1,Non labellisé
-1.809599607132712,0.6102239721603862,1,Non labellisé
-0.37810771327558673,-2.01784277934268,0,Non labellisé
-0.2563314901049106,-1.2712177951246784,0,Non labellisé
3.5933954734193674,0.6270571986669653,2,Non labellisé
3.1928771123122957,0.6837722473865538,2,Non labellisé
3.4293515864867663,0.6402843134913387,2,Non labellisé
-0.8100331334719338,1.0376166513988518,1,Non labellisé
2.4359149429666145,0.5180665052759672,2,Non labellisé
-2.1070307013855634,0.05906642576494784,1,Non labellisé
-0.8198355459850094,1.0183852189156706,1,Non labellisé
-1.520997045490235,0.5772410775076479,1,Non labellisé
-1.8661657226460722,0.4289277818340354,1,Non labellisé
